epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.581,0.76173,3.50293,1.3585,0.00492,1,0.21381,0.17732,0.16921,4.10096,1.04503,4.998e-05,4.998e-05,4.998e-05
2,233.816,0.50039,3.28137,1.22463,0.0046,1,0.47571,0.38976,0.21634,4.06588,1.06478,0.000106146,0.000106146,0.000106146
3,338.453,0.42746,2.96587,1.14911,0.00452,1,0.58244,0.43503,0.23962,4.04292,1.07668,0.000160003,0.000160003,0.000160003
4,445.348,0.38974,2.67928,1.10883,0.00681,1,0.5012,0.39963,0.32518,4.01082,1.18007,0.00021155,0.00021155,0.00021155
5,551.647,0.35436,2.32297,1.06006,0.01079,1,0.65132,0.5484,0.38447,3.84241,1.18606,0.000260789,0.000260789,0.000260789
6,659.378,0.39042,2.01244,1.09624,0.00809,1,0.76698,0.7436,0.29519,3.38053,1.12452,0.000307719,0.000307719,0.000307719
7,764.773,0.38443,1.88809,1.08927,0.00782,1,0.85306,0.64798,0.96895,3.69457,1.5302,0.000352339,0.000352339,0.000352339
8,871.318,0.38069,1.58504,1.06528,0.94554,0.23712,0.84295,0.61122,1.1368,3.52508,1.55443,0.00039465,0.00039465,0.00039465
9,980.578,0.36116,1.46737,1.05737,0.62921,0.93806,0.93281,0.84091,0.50259,2.38681,1.26072,0.000434653,0.000434653,0.000434653
10,1086.74,0.3276,1.30315,1.02433,0.589,0.92389,0.91198,0.87981,0.32802,2.38699,1.15899,0.000472346,0.000472346,0.000472346
11,1193.1,0.33274,1.16741,1.02171,0.71272,0.81366,0.92229,0.86416,0.37745,2.34451,1.16549,0.00050773,0.00050773,0.00050773
12,1301.88,0.3113,1.16157,1.01294,0.79745,0.75,0.93281,0.90011,0.29595,1.88677,1.06906,0.000540805,0.000540805,0.000540805
13,1408.8,0.34196,1.02824,1.02427,0.62279,0.97582,0.93281,0.90997,0.26967,1.86955,1.03493,0.000571571,0.000571571,0.000571571
14,1515.54,0.32378,1.03274,1.03405,0.66743,0.94187,0.995,0.96381,0.30207,1.86391,1.0647,0.000600028,0.000600028,0.000600028
15,1624.09,0.30918,1.03664,1.01549,0.8435,0.82634,0.94031,0.9115,0.33743,1.64531,1.13779,0.000602092,0.000602092,0.000602092
16,1732.48,0.30596,0.94421,0.99894,0.94243,0.83251,0.94812,0.90141,0.39123,1.53947,1.2398,0.000585599,0.000585599,0.000585599
17,1846.02,0.29311,0.88502,1.00144,0.89638,0.85438,0.95333,0.89733,0.42368,1.61456,1.28025,0.000569106,0.000569106,0.000569106
18,1950.43,0.29664,0.92083,1.00101,0.78276,0.96175,0.995,0.96697,0.31644,1.33331,1.09874,0.000552612,0.000552612,0.000552612
19,2057.44,0.30691,0.86209,1.00341,0.93273,0.94341,0.995,0.98875,0.2885,1.24828,1.06367,0.000536119,0.000536119,0.000536119
20,2164.32,0.31066,0.87846,1.00083,0.95067,0.94551,0.995,0.97006,0.31257,1.29414,1.10677,0.000519625,0.000519625,0.000519625
21,2270.84,0.28496,0.85741,0.99859,0.96101,1,0.995,0.97941,0.31988,1.23687,1.12301,0.000503132,0.000503132,0.000503132
22,2378.91,0.31225,0.88209,1.00672,0.96687,1,0.995,0.97322,0.29598,1.18647,1.10687,0.000486639,0.000486639,0.000486639
23,2486.09,0.30601,0.81921,1.00685,0.97311,1,0.995,0.97322,0.32182,1.28785,1.10637,0.000470145,0.000470145,0.000470145
24,2595.3,0.29075,0.86481,0.99077,0.95554,1,0.995,0.97631,0.294,1.34843,1.08404,0.000453652,0.000453652,0.000453652
25,2701.78,0.29805,0.80223,1.00201,0.91729,1,0.995,0.97631,0.29272,1.44735,1.08319,0.000437158,0.000437158,0.000437158
26,2807.41,0.27039,0.7809,0.98506,0.92338,1,0.995,0.92341,0.37756,1.33066,1.1808,0.000420665,0.000420665,0.000420665
27,2913.29,0.2753,0.82849,1.03201,0.95248,0.99258,0.995,0.93894,0.32594,1.20885,1.11845,0.000404172,0.000404172,0.000404172
28,3021.63,0.26037,0.76276,0.99457,0.85679,0.99005,0.995,0.98875,0.26403,1.27441,1.02282,0.000387678,0.000387678,0.000387678
29,3129.22,0.26216,0.78643,0.98102,0.88882,1,0.995,0.97631,0.24143,1.23591,1.00465,0.000371185,0.000371185,0.000371185
